age,sleep_hours,sleep_quality_score,sleep_quality_category,daily_screen_time_hours,phone_usage_before_sleep_minutes,phone_usage_before_sleep_category,poor_quality_and_short_sleep,high_phone_usage_low_sleep,occupation,gender,stress_category
27,8.17,6.62,moderate,7.24,51,medium,0,0,Software Engineer,Male,high
53,4.8,4.61,poor,9.94,83,high,1,1,Student,Female,high
31,7.84,4.45,poor,6.32,15,low,0,0,Freelancer,Female,high
48,6.83,7.36,moderate,2.12,42,medium,0,0,Freelancer,Female,medium
32,7.81,5.83,moderate,2.65,63,high,0,0,Freelancer,Female,medium
25,8.59,6.22,moderate,5.84,112,high,0,0,Doctor,Male,medium
31,5.68,5.68,moderate,7.44,92,high,0,1,Researcher,Female,high
40,6.85,6.03,moderate,6.97,26,low,0,0,Teacher,Male,high
57,7.94,6.07,moderate,6.17,118,high,0,0,Software Engineer,Male,high
38,8.93,4.67,poor,9.88,64,high,0,0,Researcher,Male,high
33,7.06,8.78,good,2.78,12,low,0,0,Doctor,Male,low
35,7.61,7.56,good,2.56,39,medium,0,0,Software Engineer,Female,medium
41,8.23,3.68,poor,8.73,31,medium,0,0,Doctor,Female,high
43,7.76,6.81,moderate,3.62,66,high,0,0,Software Engineer,Female,medium
42,8.71,7.77,good,3.99,13,low,0,0,Designer,Male,medium
58,5.15,5.61,moderate,5.94,119,high,0,1,Software Engineer,Female,high
46,8.54,6.0,moderate,4.43,119,high,0,0,Designer,Female,high
32,5.04,7.2,moderate,3.59,57,medium,0,0,Researcher,Female,medium
18,6.83,4.13,poor,9.25,91,high,0,0,Student,Female,high
42,6.61,7.16,moderate,2.16,45,medium,0,0,Software Engineer,Male,medium
24,8.16,5.68,moderate,4.64,89,high,0,0,Student,Male,high
26,5.99,8.91,good,1.03,84,high,0,1,Teacher,Male,low
41,4.72,3.61,poor,8.27,109,high,1,1,Manager,Female,high
18,7.53,6.58,moderate,2.52,114,high,0,0,Manager,Other,medium
25,7.03,5.31,moderate,7.96,74,high,0,0,Designer,Male,high
41,8.14,6.57,moderate,2.34,90,high,0,0,Researcher,Male,low
28,7.79,5.36,moderate,4.75,107,high,0,0,Researcher,Male,high
34,8.47,3.5,poor,7.55,58,medium,0,0,Software Engineer,Female,high
25,8.2,8.3,good,3.44,64,high,0,0,Manager,Male,medium
52,7.43,8.8,good,3.83,32,medium,0,0,Student,Male,low
52,6.33,6.68,moderate,7.01,45,medium,0,0,Manager,Male,high
50,4.1,7.48,moderate,2.69,81,high,0,1,Manager,Female,medium
22,5.54,3.15,poor,9.57,53,medium,1,0,Doctor,Female,high
59,7.64,7.08,moderate,2.7,65,high,0,0,Manager,Female,medium
56,4.3,5.19,moderate,7.75,3,low,0,0,Student,Male,high
58,7.78,4.2,poor,8.22,53,medium,0,0,Manager,Male,high
45,6.58,5.54,moderate,4.37,113,high,0,0,Software Engineer,Male,high
24,8.34,8.31,good,2.41,3,low,0,0,Manager,Male,low
26,7.3,7.86,good,2.49,118,high,0,0,Teacher,Male,low
25,7.99,4.84,poor,9.87,16,low,0,0,Manager,Male,high
29,4.86,5.73,moderate,7.53,111,high,0,1,Designer,Female,high
51,4.86,5.43,moderate,5.05,79,high,0,1,Researcher,Male,high
50,5.06,7.51,good,3.32,72,high,0,1,Doctor,Male,medium
40,5.67,7.7,good,1.17,89,high,0,1,Freelancer,Female,low
41,8.52,5.77,moderate,7.03,73,high,0,0,Student,Female,high
54,7.87,4.87,poor,9.61,70,high,0,0,Researcher,Female,high
52,5.82,8.95,good,1.96,72,high,0,1,Researcher,Female,low
57,8.59,4.85,poor,7.79,54,medium,0,0,Manager,Male,high
39,7.89,8.02,good,2.38,47,medium,0,0,Manager,Female,medium
44,7.28,5.36,moderate,8.13,90,high,0,0,Software Engineer,Female,high
52,6.18,8.14,good,4.34,95,high,0,0,Freelancer,Male,low
18,7.26,5.58,moderate,7.41,48,medium,0,0,Software Engineer,Male,high
52,6.97,4.78,poor,9.34,22,low,0,0,Designer,Female,high
54,7.91,6.17,moderate,6.58,26,low,0,0,Freelancer,Male,high
31,5.13,2.97,poor,9.29,24,low,1,0,Researcher,Male,high
20,8.43,7.22,moderate,3.12,92,high,0,0,Doctor,Male,medium
18,6.96,4.08,poor,9.8,23,low,0,0,Student,Male,high
22,8.03,3.13,poor,8.86,79,high,0,0,Student,Male,high
43,5.74,8.26,good,1.97,79,high,0,1,Researcher,Male,low
31,5.96,6.05,moderate,4.72,91,high,0,1,Student,Male,high
56,8.69,5.88,moderate,9.34,19,low,0,0,Designer,Male,high
44,7.11,8.25,good,1.7,52,medium,0,0,Designer,Female,low
26,5.59,4.89,poor,5.08,82,high,1,1,Manager,Male,high
32,4.41,5.19,moderate,7.51,73,high,0,1,Doctor,Female,high
32,6.17,7.01,moderate,1.3,25,low,0,0,Student,Female,low
43,8.25,5.9,moderate,7.78,59,medium,0,0,Student,Female,high
59,5.26,9.24,good,4.25,1,low,0,0,Manager,Female,low
30,8.3,8.06,good,3.24,2,low,0,0,Doctor,Male,low
49,4.81,5.41,moderate,6.18,102,high,0,1,Freelancer,Male,high
56,4.65,7.47,moderate,5.9,55,medium,0,0,Doctor,Female,medium
49,7.03,4.47,poor,8.87,65,high,0,0,Doctor,Male,high
21,8.02,4.35,poor,7.08,24,low,0,0,Researcher,Female,high
47,7.9,7.21,moderate,4.8,108,high,0,0,Software Engineer,Female,medium
54,6.72,4.95,poor,6.85,67,high,0,0,Doctor,Male,high
40,7.19,5.66,moderate,7.75,14,low,0,0,Teacher,Female,high
56,5.29,5.53,moderate,9.44,81,high,0,1,Designer,Female,high
32,6.76,8.69,good,7.34,6,low,0,0,Doctor,Male,medium
46,5.04,4.83,poor,5.89,90,high,1,1,Software Engineer,Male,high
53,8.64,7.46,moderate,4.36,81,high,0,0,Researcher,Female,medium
30,7.39,4.61,poor,9.02,70,high,0,0,Researcher,Female,high
49,6.82,5.73,moderate,8.13,119,high,0,0,Freelancer,Male,high
24,5.24,7.36,moderate,1.69,92,high,0,1,Teacher,Male,medium
39,6.04,6.03,moderate,7.3,40,medium,0,0,Software Engineer,Female,high
45,7.9,5.6,moderate,5.85,59,medium,0,0,Software Engineer,Female,high
19,5.2,10.0,good,1.93,43,medium,0,0,Manager,Female,low
59,4.64,5.91,moderate,6.08,32,medium,0,0,Software Engineer,Other,high
23,5.54,7.04,moderate,2.73,65,high,0,1,Software Engineer,Male,low
45,7.97,5.66,moderate,7.37,81,high,0,0,Student,Male,high
45,8.42,5.62,moderate,3.51,109,high,0,0,Designer,Female,medium
37,6.07,8.81,good,2.35,22,low,0,0,Manager,Female,low
47,7.91,7.75,good,1.74,63,high,0,0,Manager,Male,low
28,5.66,6.61,moderate,5.42,5,low,0,0,Student,Male,high
45,6.54,7.43,moderate,2.8,62,high,0,0,Teacher,Female,low
42,4.1,3.87,poor,8.7,42,medium,1,0,Student,Male,high
56,7.56,7.89,good,1.03,24,low,0,0,Manager,Female,low
50,7.59,3.78,poor,8.59,82,high,0,0,Teacher,Male,high
18,4.5,9.19,good,5.69,7,low,0,0,Manager,Male,medium
44,5.79,2.76,poor,9.3,116,high,1,1,Doctor,Male,high
30,6.42,9.77,good,2.84,36,medium,0,0,Teacher,Female,low
58,7.87,8.2,good,1.92,89,high,0,0,Manager,Female,low
20,8.12,4.92,poor,6.62,92,high,0,0,Student,Female,high
56,7.6,4.8,poor,7.36,58,medium,0,0,Manager,Female,high
23,5.08,7.48,moderate,4.35,27,low,0,0,Student,Male,medium
25,5.78,10.0,good,1.12,52,medium,0,0,Teacher,Male,low
44,5.24,4.34,poor,4.66,119,high,1,1,Student,Female,high
26,7.19,6.96,moderate,3.1,70,high,0,0,Teacher,Female,medium
54,7.24,7.94,good,4.13,54,medium,0,0,Software Engineer,Female,medium
50,4.08,6.51,moderate,5.56,35,medium,0,0,Designer,Female,medium
59,7.66,5.46,moderate,7.32,61,high,0,0,Freelancer,Male,high
41,5.15,2.71,poor,9.67,14,low,1,0,Teacher,Male,high
32,8.01,8.17,good,2.3,53,medium,0,0,Freelancer,Female,medium
49,8.16,5.9,moderate,7.12,60,medium,0,0,Researcher,Male,high
49,7.98,6.74,moderate,3.1,96,high,0,0,Freelancer,Male,medium
41,6.04,7.33,moderate,2.99,53,medium,0,0,Software Engineer,Female,medium
58,5.74,6.76,moderate,6.7,68,high,0,1,Software Engineer,Male,high
29,6.18,6.14,moderate,7.98,28,low,0,0,Software Engineer,Female,high
56,6.64,4.16,poor,9.8,80,high,0,0,Freelancer,Male,high
19,5.25,6.36,moderate,7.92,108,high,0,1,Software Engineer,Female,high
20,8.66,8.04,good,2.42,26,low,0,0,Teacher,Female,low
54,6.52,7.16,moderate,3.03,80,high,0,0,Freelancer,Female,medium
34,4.37,5.91,moderate,7.85,114,high,0,1,Freelancer,Male,high
19,8.99,5.62,moderate,5.74,67,high,0,0,Researcher,Male,high
19,6.42,8.22,good,3.66,112,high,0,0,Student,Male,low
45,8.73,7.1,moderate,5.25,11,low,0,0,Software Engineer,Male,medium
40,5.95,6.2,moderate,9.23,22,low,0,0,Doctor,Female,high
54,5.12,6.06,moderate,7.8,49,medium,0,0,Software Engineer,Male,high
49,7.68,5.41,moderate,5.06,74,high,0,0,Researcher,Male,medium
50,6.16,3.85,poor,9.82,99,high,0,0,Student,Male,high
18,8.41,5.14,moderate,8.15,75,high,0,0,Student,Female,high
36,6.32,8.8,good,1.05,72,high,0,0,Designer,Male,low
19,5.69,9.71,good,2.01,87,high,0,1,Designer,Female,low
43,8.83,6.3,moderate,5.99,81,high,0,0,Freelancer,Female,high
49,8.15,7.37,moderate,4.15,26,low,0,0,Software Engineer,Female,high
23,5.03,3.81,poor,8.31,58,medium,1,0,Software Engineer,Female,high
49,6.44,5.42,moderate,9.06,8,low,0,0,Manager,Male,high
21,4.57,7.36,moderate,3.17,32,medium,0,0,Freelancer,Female,medium
28,4.54,4.07,poor,7.87,69,high,1,1,Manager,Female,high
34,8.27,6.16,moderate,5.82,50,medium,0,0,Designer,Female,medium
55,8.66,4.71,poor,4.53,96,high,0,0,Software Engineer,Female,high
41,7.69,3.29,poor,8.08,39,medium,0,0,Manager,Male,high
22,8.95,7.15,moderate,6.08,5,low,0,0,Doctor,Male,high
51,4.23,9.0,good,6.72,3,low,0,0,Teacher,Female,medium
23,5.66,10.0,good,1.56,2,low,0,0,Designer,Female,low
39,4.66,5.8,moderate,6.27,12,low,0,0,Designer,Male,high
28,7.91,8.6,good,3.71,25,low,0,0,Student,Male,low
33,8.45,9.44,good,5.44,33,medium,0,0,Software Engineer,Male,low
50,6.24,6.75,moderate,3.0,76,high,0,0,Designer,Female,low
26,8.15,4.59,poor,6.53,52,medium,0,0,Designer,Female,high
23,8.24,8.68,good,2.33,46,medium,0,0,Researcher,Female,low
33,4.7,10.0,good,2.11,7,low,0,0,Manager,Male,low
46,5.88,7.73,good,2.7,75,high,0,1,Doctor,Male,low
20,4.94,5.66,moderate,8.36,7,low,0,0,Freelancer,Male,high
37,7.35,8.57,good,1.3,18,low,0,0,Software Engineer,Male,medium
53,5.94,3.5,poor,7.57,104,high,1,1,Researcher,Female,high
36,7.34,7.36,moderate,1.51,73,high,0,0,Teacher,Male,medium
43,8.38,6.16,moderate,6.33,31,medium,0,0,Doctor,Female,high
20,6.06,7.62,good,7.96,20,low,0,0,Teacher,Female,high
36,8.86,4.89,poor,3.08,63,high,0,0,Student,Female,high
37,6.04,10.0,good,2.76,22,low,0,0,Designer,Male,low
49,5.07,7.74,good,3.6,90,high,0,1,Manager,Male,low
24,6.65,4.57,poor,7.3,88,high,0,0,Doctor,Male,high
58,6.0,7.73,good,3.29,70,high,0,0,Researcher,Female,low
50,4.63,5.77,moderate,5.52,41,medium,0,0,Teacher,Female,high
57,4.12,10.0,good,2.21,34,medium,0,0,Software Engineer,Male,low
56,7.72,6.0,moderate,5.15,1,low,0,0,Student,Male,high
35,8.66,3.7,poor,6.62,91,high,0,0,Researcher,Female,high
57,6.2,8.7,good,1.65,70,high,0,0,Freelancer,Female,low
18,4.33,4.22,poor,8.34,105,high,1,1,Student,Other,high
28,7.7,3.65,poor,9.44,103,high,0,0,Designer,Male,high
45,8.34,7.1,moderate,2.74,75,high,0,0,Designer,Male,low
42,5.62,4.52,poor,7.83,51,medium,1,0,Teacher,Male,high
40,5.11,7.49,moderate,3.82,16,low,0,0,Teacher,Male,medium
48,5.69,6.24,moderate,7.09,85,high,0,1,Student,Female,high
47,8.54,9.27,good,3.76,8,low,0,0,Teacher,Male,low
59,6.09,5.68,moderate,8.76,51,medium,0,0,Designer,Male,high
52,7.27,7.29,moderate,4.12,2,low,0,0,Student,Female,medium
24,4.37,4.16,poor,8.64,21,low,1,0,Student,Male,high
33,5.41,6.97,moderate,7.9,53,medium,0,0,Freelancer,Female,high
43,5.14,6.4,moderate,2.77,35,medium,0,0,Software Engineer,Male,medium
19,4.31,7.94,good,2.41,38,medium,0,0,Software Engineer,Female,low
18,4.6,5.88,moderate,8.02,17,low,0,0,Teacher,Male,high
29,6.08,9.61,good,4.51,80,high,0,0,Researcher,Female,low
22,6.79,4.81,poor,9.54,26,low,0,0,Teacher,Male,high
54,5.56,4.0,poor,9.49,117,high,1,1,Researcher,Male,high
49,6.1,5.29,moderate,7.24,98,high,0,0,Designer,Female,high
26,7.8,6.98,moderate,5.51,95,high,0,0,Researcher,Male,high
58,5.24,8.46,good,2.75,66,high,0,1,Designer,Male,medium
52,4.17,5.96,moderate,8.94,12,low,0,0,Software Engineer,Female,high
36,5.28,9.24,good,1.74,16,low,0,0,Student,Female,low
33,8.61,7.6,good,4.33,60,medium,0,0,Doctor,Male,medium
20,4.09,7.46,moderate,3.87,17,low,0,0,Manager,Male,medium
37,4.64,1.0,poor,9.63,114,high,1,1,Manager,Male,high
41,4.33,8.03,good,2.06,16,low,0,0,Freelancer,Male,medium
50,5.88,5.12,moderate,9.01,55,medium,0,0,Doctor,Other,high
41,7.24,6.01,moderate,5.11,47,medium,0,0,Researcher,Female,high
28,8.55,8.97,good,1.43,15,low,0,0,Freelancer,Male,low
25,7.97,4.56,poor,7.56,85,high,0,0,Teacher,Other,high
53,5.25,8.29,good,1.91,24,low,0,0,Manager,Female,low
55,7.17,8.05,good,3.13,64,high,0,0,Freelancer,Female,medium
57,7.32,5.68,moderate,8.2,26,low,0,0,Manager,Male,high
37,4.45,8.59,good,2.39,13,low,0,0,Doctor,Male,low
52,6.14,4.23,poor,3.93,91,high,0,0,Freelancer,Female,high
42,5.56,4.35,poor,4.25,110,high,1,1,Doctor,Male,high
52,4.79,5.75,moderate,6.3,99,high,0,1,Software Engineer,Male,high
42,4.29,3.01,poor,8.11,115,high,1,1,Student,Male,high
46,4.14,7.2,moderate,3.08,116,high,0,1,Designer,Male,low
35,8.29,6.27,moderate,2.85,106,high,0,0,Researcher,Female,medium
35,5.65,7.11,moderate,3.0,49,medium,0,0,Software Engineer,Female,medium
19,6.47,4.55,poor,4.43,95,high,0,0,Manager,Male,high
52,5.46,6.49,moderate,5.82,28,low,0,0,Designer,Male,high
33,4.83,6.12,moderate,1.12,80,high,0,1,Software Engineer,Female,medium
58,5.31,4.46,poor,8.02,27,low,1,0,Software Engineer,Male,high
53,4.85,3.11,poor,9.34,104,high,1,1,Doctor,Female,high
50,7.79,5.94,moderate,8.59,20,low,0,0,Designer,Female,high
21,8.54,9.18,good,1.33,23,low,0,0,Software Engineer,Male,low
50,6.17,6.29,moderate,5.72,45,medium,0,0,Doctor,Female,medium
31,8.11,5.6,moderate,8.33,59,medium,0,0,Teacher,Female,high
38,6.13,5.67,moderate,4.1,98,high,0,0,Designer,Male,medium
37,6.23,5.41,moderate,9.07,19,low,0,0,Researcher,Male,high
25,6.43,3.59,poor,8.98,51,medium,0,0,Freelancer,Other,high
24,8.1,8.33,good,2.28,21,low,0,0,Software Engineer,Male,low
20,8.68,5.34,moderate,5.44,67,high,0,0,Manager,Female,high
34,7.72,9.26,good,1.23,15,low,0,0,Teacher,Female,low
50,8.44,8.31,good,3.54,20,low,0,0,Doctor,Male,low
29,7.21,5.71,moderate,8.31,43,medium,0,0,Software Engineer,Male,high
39,8.2,3.54,poor,9.78,61,high,0,0,Manager,Female,high
39,6.78,5.64,moderate,9.22,20,low,0,0,Doctor,Male,high
47,7.86,7.8,good,1.38,103,high,0,0,Doctor,Female,low
55,7.53,3.16,poor,9.34,104,high,0,0,Freelancer,Female,high
55,7.75,5.32,moderate,8.4,10,low,0,0,Manager,Female,high
25,5.17,4.32,poor,8.81,119,high,1,1,Doctor,Male,high
44,4.77,4.63,poor,9.23,59,medium,1,0,Designer,Female,high
44,7.27,6.26,moderate,5.39,36,medium,0,0,Freelancer,Female,medium
51,6.41,9.23,good,2.9,43,medium,0,0,Teacher,Female,low
38,7.82,7.19,moderate,1.19,21,low,0,0,Freelancer,Male,low
47,4.73,7.25,moderate,1.21,83,high,0,1,Teacher,Female,medium
50,8.74,4.64,poor,6.78,65,high,0,0,Student,Female,high
45,7.52,6.12,moderate,4.04,42,medium,0,0,Freelancer,Male,medium
50,4.11,5.54,moderate,5.46,74,high,0,1,Freelancer,Other,high
22,6.88,10.0,good,2.18,20,low,0,0,Researcher,Male,low
36,5.56,3.49,poor,9.78,32,medium,1,0,Software Engineer,Male,high
21,5.37,7.39,moderate,2.17,112,high,0,1,Freelancer,Female,medium
52,8.51,7.45,moderate,5.0,16,low,0,0,Doctor,Male,medium
34,8.18,8.19,good,4.99,35,medium,0,0,Researcher,Female,medium
45,4.05,9.79,good,1.08,13,low,0,0,Software Engineer,Female,low
47,4.91,6.73,moderate,7.01,36,medium,0,0,Researcher,Male,high
46,7.6,8.39,good,5.84,30,medium,0,0,Researcher,Male,medium
23,8.24,6.5,moderate,5.48,3,low,0,0,Teacher,Female,high
52,7.59,5.64,moderate,8.36,5,low,0,0,Teacher,Female,high
58,6.63,6.92,moderate,3.17,49,medium,0,0,Doctor,Female,medium
54,8.92,2.26,poor,8.75,84,high,0,0,Designer,Female,high
41,7.99,2.76,poor,8.78,76,high,0,0,Manager,Male,high
46,6.34,5.13,moderate,8.44,37,medium,0,0,Doctor,Male,high
48,6.92,5.63,moderate,4.07,78,high,0,0,Doctor,Female,high
52,4.22,7.94,good,2.46,4,low,0,0,Student,Female,low
50,8.82,7.87,good,5.28,37,medium,0,0,Manager,Male,medium
38,5.81,8.28,good,3.34,23,low,0,0,Researcher,Female,medium
49,7.31,10.0,good,1.47,17,low,0,0,Researcher,Female,low
40,7.33,7.23,moderate,3.52,92,high,0,0,Freelancer,Female,medium
50,4.28,7.17,moderate,5.22,31,medium,0,0,Researcher,Male,high
20,5.33,9.04,good,2.01,70,high,0,1,Designer,Female,low
35,7.28,3.64,poor,9.5,93,high,0,0,Researcher,Female,high
42,8.56,5.24,moderate,6.9,101,high,0,0,Software Engineer,Female,high
59,7.89,6.91,moderate,2.23,89,high,0,0,Manager,Female,medium
48,6.9,4.67,poor,8.31,71,high,0,0,Designer,Female,high
20,5.16,3.43,poor,9.35,88,high,1,1,Doctor,Female,high
57,8.74,8.13,good,3.37,29,low,0,0,Doctor,Other,medium
41,6.02,6.08,moderate,2.29,87,high,0,0,Doctor,Male,medium
49,4.75,7.25,moderate,3.9,29,low,0,0,Doctor,Male,medium
39,4.11,6.41,moderate,8.49,4,low,0,0,Doctor,Female,high
40,8.75,7.43,moderate,2.58,3,low,0,0,Manager,Male,medium
19,7.89,5.66,moderate,8.01,50,medium,0,0,Freelancer,Male,high
44,5.08,5.52,moderate,7.45,105,high,0,1,Manager,Male,high
59,4.71,7.87,good,6.86,8,low,0,0,Freelancer,Male,medium
19,8.8,5.38,moderate,4.9,54,medium,0,0,Manager,Male,high
43,5.2,6.79,moderate,4.3,32,medium,0,0,Designer,Male,medium
34,6.31,7.94,good,1.77,114,high,0,0,Doctor,Other,low
57,7.05,5.77,moderate,4.22,92,high,0,0,Teacher,Female,high
50,4.31,5.58,moderate,6.42,30,medium,0,0,Manager,Female,high
26,5.72,3.64,poor,9.08,107,high,1,1,Teacher,Male,high
56,8.72,3.98,poor,8.5,82,high,0,0,Researcher,Female,high
46,7.5,8.0,good,1.29,108,high,0,0,Student,Female,low
59,5.84,7.22,moderate,2.25,53,medium,0,0,Researcher,Female,medium
43,7.96,3.5,poor,8.64,110,high,0,0,Software Engineer,Male,high
52,8.19,4.28,poor,9.45,60,medium,0,0,Manager,Male,high
42,4.76,7.87,good,1.5,65,high,0,1,Teacher,Female,medium
41,6.93,5.13,moderate,7.31,19,low,0,0,Student,Female,high
30,5.83,5.23,moderate,4.29,75,high,0,1,Designer,Female,high
24,6.53,6.41,moderate,4.28,113,high,0,0,Software Engineer,Female,medium
53,6.35,4.74,poor,6.78,84,high,0,0,Freelancer,Male,high
37,6.52,4.92,poor,8.29,60,medium,0,0,Researcher,Female,high
18,6.61,5.4,moderate,3.47,94,high,0,0,Doctor,Male,medium
25,4.35,6.57,moderate,7.35,35,medium,0,0,Manager,Female,high
33,4.89,5.2,moderate,6.72,83,high,0,1,Manager,Other,high
31,6.83,4.9,poor,5.66,107,high,0,0,Doctor,Female,high
29,8.68,8.1,good,6.42,19,low,0,0,Researcher,Male,medium
40,7.73,8.0,good,1.16,44,medium,0,0,Researcher,Male,low
32,5.19,8.23,good,1.04,99,high,0,1,Freelancer,Female,low
45,5.81,6.54,moderate,5.95,45,medium,0,0,Designer,Female,high
51,5.68,4.59,poor,5.72,116,high,1,1,Software Engineer,Female,high
19,7.85,8.8,good,1.64,17,low,0,0,Manager,Female,low
49,8.86,6.27,moderate,5.43,69,high,0,0,Teacher,Male,medium
40,5.78,4.96,poor,7.82,96,high,1,1,Researcher,Female,high
39,4.07,5.76,moderate,5.87,73,high,0,1,Freelancer,Female,high
42,8.68,7.01,moderate,5.66,17,low,0,0,Researcher,Other,medium
39,7.77,4.65,poor,7.46,114,high,0,0,Software Engineer,Male,high
39,8.17,5.4,moderate,2.55,63,high,0,0,Student,Female,medium
59,5.04,6.43,moderate,5.12,33,medium,0,0,Freelancer,Male,high
23,7.23,7.65,good,2.33,78,high,0,0,Researcher,Female,low
32,5.16,4.65,poor,5.71,2,low,1,0,Manager,Female,high
54,4.06,5.77,moderate,6.33,71,high,0,1,Designer,Male,high
50,4.79,9.02,good,2.1,114,high,0,1,Freelancer,Male,low
25,8.61,9.74,good,1.68,10,low,0,0,Teacher,Female,low
22,5.08,7.2,moderate,2.5,45,medium,0,0,Software Engineer,Female,low
56,6.93,7.5,good,6.28,95,high,0,0,Freelancer,Male,medium
21,8.84,5.36,moderate,2.71,111,high,0,0,Software Engineer,Male,high
23,4.38,7.02,moderate,3.48,41,medium,0,0,Teacher,Female,low
49,8.04,7.39,moderate,7.32,16,low,0,0,Student,Female,high
47,6.99,7.63,good,3.24,46,medium,0,0,Student,Male,low
52,5.62,8.0,good,4.58,29,low,0,0,Freelancer,Female,medium
57,5.82,5.64,moderate,9.36,42,medium,0,0,Software Engineer,Male,high
33,4.14,6.49,moderate,8.42,7,low,0,0,Doctor,Male,high
30,5.28,6.36,moderate,3.3,39,medium,0,0,Teacher,Male,medium
59,6.12,4.89,poor,6.38,70,high,0,0,Researcher,Female,high
