age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,stress_category,sleep_duration_category,sleep_quality_category,phone_usage_before_sleep_category,daily_screen_time_category,sleep_deficit_hours,poor_quality_and_short_sleep,high_phone_usage_low_sleep,high_screen_high_fatigue,notification_intensity_per_hour,priority_segment
19,Male,Doctor,1.49,36,8.83,7.93,2.64,3,5,143,1.88,low,long,good,medium,low,0.0,0,0,0,5.958333333333333,general_users
38,Female,Freelancer,4.95,113,8.97,4.85,8.99,0,47,148,9.36,high,long,poor,high,moderate,0.0,0,0,0,6.166666666666667,low_sleep_quality
50,Female,Software Engineer,1.54,22,7.17,9.57,1.0,1,87,249,1.0,low,ideal,good,low,low,0.0,0,0,0,10.375,general_users
29,Male,Researcher,2.57,54,6.46,6.38,4.73,2,99,45,3.29,medium,ideal,moderate,medium,low,0.54,0,0,0,1.875,general_users
39,Female,Designer,7.55,18,4.89,6.15,8.95,4,80,136,9.25,high,short,moderate,low,high,2.1100000000000003,0,0,1,5.666666666666667,high_screen_time
42,Female,Student,5.32,66,5.04,5.6,6.95,2,27,88,6.83,medium,short,moderate,high,moderate,1.96,0,1,0,3.6666666666666665,general_users
44,Male,Freelancer,5.34,87,6.15,3.71,10.0,2,109,262,8.86,high,ideal,poor,high,moderate,0.8499999999999996,0,0,0,10.916666666666666,low_sleep_quality
59,Female,Student,6.38,22,7.51,6.23,7.26,3,98,67,8.9,high,ideal,moderate,low,moderate,0.0,0,0,0,2.7916666666666665,general_users
45,Male,Designer,8.1,3,7.85,6.87,9.62,4,65,232,8.74,high,ideal,moderate,low,high,0.0,0,0,1,9.666666666666666,high_screen_time
33,Female,Doctor,2.43,17,5.11,8.77,1.0,2,38,240,1.53,low,short,good,low,low,1.8899999999999997,0,0,0,10.0,general_users
32,Female,Manager,2.56,11,6.68,7.34,4.48,3,84,285,4.71,medium,ideal,moderate,low,low,0.3200000000000003,0,0,0,11.875,general_users
20,Male,Designer,2.09,34,6.96,8.54,4.18,0,40,287,4.27,medium,ideal,good,medium,low,0.040000000000000036,0,0,0,11.958333333333334,general_users
54,Male,Student,9.43,26,8.47,3.12,10.0,3,115,136,9.7,high,long,poor,low,high,0.0,0,0,1,5.666666666666667,high_screen_low_sleep_quality
24,Other,Software Engineer,6.2,42,8.38,8.36,5.59,3,2,148,7.25,medium,long,good,medium,moderate,0.0,0,0,0,6.166666666666667,general_users
38,Female,Doctor,1.83,77,8.09,7.94,2.37,0,70,106,1.45,low,long,good,high,low,0.0,0,0,0,4.416666666666667,general_users
26,Female,Researcher,2.99,94,6.58,7.57,4.56,4,0,265,4.96,medium,ideal,good,high,low,0.41999999999999993,0,0,0,11.041666666666666,general_users
56,Male,Designer,7.53,66,4.33,6.57,8.33,4,48,103,9.11,high,short,moderate,high,high,2.67,0,1,1,4.291666666666667,high_screen_time
35,Male,Freelancer,1.26,68,5.67,8.39,1.5,4,109,97,1.0,low,short,good,high,low,1.33,0,1,0,4.041666666666667,general_users
21,Male,Software Engineer,7.53,63,7.11,5.33,10.0,1,34,291,10.0,high,ideal,moderate,high,high,0.0,0,0,1,12.125,high_screen_time
42,Male,Researcher,9.2,92,7.19,2.99,10.0,2,34,32,8.11,high,ideal,poor,high,high,0.0,0,0,1,1.3333333333333333,high_screen_low_sleep_quality
31,Female,Designer,1.51,102,8.25,5.44,7.76,3,48,44,8.22,high,long,moderate,high,low,0.0,0,0,0,1.8333333333333333,general_users
26,Female,Doctor,2.68,51,5.9,7.08,3.92,1,61,153,3.39,low,short,moderate,medium,low,1.0999999999999996,0,0,0,6.375,general_users
43,Female,Student,1.02,16,8.68,9.37,1.0,2,15,36,1.0,low,long,good,low,low,0.0,0,0,0,1.5,general_users
19,Male,Manager,1.98,82,4.82,7.73,1.91,3,64,227,1.31,low,short,good,high,low,2.1799999999999997,0,1,0,9.458333333333334,general_users
37,Female,Freelancer,6.55,98,4.25,5.36,6.51,4,1,145,9.02,medium,short,moderate,high,moderate,2.75,0,1,0,6.041666666666667,general_users
45,Female,Manager,1.4,32,4.88,7.55,4.85,0,1,272,4.72,medium,short,good,medium,low,2.12,0,0,0,11.333333333333334,general_users
24,Female,Doctor,4.83,71,6.31,5.72,6.43,1,66,83,5.68,medium,ideal,moderate,high,moderate,0.6900000000000004,0,0,0,3.4583333333333335,general_users
25,Female,Researcher,5.53,51,8.11,7.31,6.43,0,58,170,6.44,medium,long,moderate,medium,moderate,0.0,0,0,0,7.083333333333333,general_users
52,Other,Researcher,9.16,100,4.77,3.95,10.0,4,41,298,8.9,high,short,poor,high,high,2.2300000000000004,1,1,1,12.416666666666666,high_screen_low_sleep_quality
31,Female,Teacher,5.27,34,6.74,5.41,9.21,2,98,113,8.57,high,ideal,moderate,medium,moderate,0.2599999999999998,0,0,0,4.708333333333333,general_users
34,Male,Manager,2.28,19,7.88,9.68,1.53,0,31,157,2.08,low,ideal,good,low,low,0.0,0,0,0,6.541666666666667,general_users
53,Male,Designer,3.6,80,4.17,8.47,4.19,0,15,91,4.41,medium,short,good,high,low,2.83,0,1,0,3.7916666666666665,general_users
57,Other,Software Engineer,7.05,44,4.21,4.78,9.74,2,108,226,10.0,high,short,poor,medium,high,2.79,1,0,1,9.416666666666666,high_screen_low_sleep_quality
21,Female,Software Engineer,2.01,76,6.45,7.69,4.65,1,48,293,5.48,medium,ideal,good,high,low,0.5499999999999998,0,0,0,12.208333333333334,general_users
19,Male,Freelancer,3.09,67,4.91,7.12,6.38,1,52,274,5.57,medium,short,moderate,high,low,2.09,0,1,0,11.416666666666666,general_users
23,Male,Manager,9.96,49,6.25,3.07,10.0,3,65,299,8.86,high,ideal,poor,medium,high,0.75,0,0,1,12.458333333333334,high_screen_low_sleep_quality
59,Female,Doctor,1.05,57,4.22,8.49,3.0,3,36,297,3.65,low,short,good,medium,low,2.7800000000000002,0,0,0,12.375,general_users
21,Other,Freelancer,2.37,29,8.88,8.71,2.43,4,52,59,1.72,low,long,good,low,low,0.0,0,0,0,2.4583333333333335,general_users
46,Male,Doctor,8.59,69,7.27,4.77,10.0,2,50,232,10.0,high,ideal,poor,high,high,0.0,0,0,1,9.666666666666666,high_screen_low_sleep_quality
35,Female,Doctor,1.91,1,7.43,10.0,1.0,2,75,234,1.7,low,ideal,good,low,low,0.0,0,0,0,9.75,general_users
43,Female,Software Engineer,1.3,78,6.55,7.06,3.94,3,65,244,3.39,low,ideal,moderate,high,low,0.4500000000000002,0,0,0,10.166666666666666,general_users
51,Male,Student,2.09,33,8.12,7.27,3.83,1,87,29,3.83,low,long,moderate,medium,low,0.0,0,0,0,1.2083333333333333,general_users
27,Male,Software Engineer,7.24,51,8.17,6.62,9.1,1,1,114,8.88,high,long,moderate,medium,high,0.0,0,0,1,4.75,high_screen_time
53,Female,Student,9.94,83,4.8,4.61,10.0,3,1,240,8.95,high,short,poor,high,high,2.2,1,1,1,10.0,high_screen_low_sleep_quality
31,Female,Freelancer,6.32,15,7.84,4.45,9.38,2,28,172,10.0,high,ideal,poor,low,moderate,0.0,0,0,0,7.166666666666667,low_sleep_quality
48,Female,Freelancer,2.12,42,6.83,7.36,4.44,0,65,151,4.97,medium,ideal,moderate,medium,low,0.16999999999999993,0,0,0,6.291666666666667,general_users
32,Female,Freelancer,2.65,63,7.81,5.83,6.45,0,14,293,7.11,medium,ideal,moderate,high,low,0.0,0,0,0,12.208333333333334,general_users
25,Male,Doctor,5.84,112,8.59,6.22,6.97,4,105,112,7.96,medium,long,moderate,high,moderate,0.0,0,0,0,4.666666666666667,general_users
31,Female,Researcher,7.44,92,5.68,5.68,9.92,1,101,225,10.0,high,short,moderate,high,high,1.3200000000000003,0,1,1,9.375,high_screen_time
40,Male,Teacher,6.97,26,6.85,6.03,10.0,2,114,293,10.0,high,ideal,moderate,low,moderate,0.15000000000000036,0,0,0,12.208333333333334,general_users
57,Male,Software Engineer,6.17,118,7.94,6.07,8.04,1,44,28,8.05,high,ideal,moderate,high,moderate,0.0,0,0,0,1.1666666666666667,general_users
38,Male,Researcher,9.88,64,8.93,4.67,10.0,0,84,181,10.0,high,long,poor,high,high,0.0,0,0,1,7.541666666666667,high_screen_low_sleep_quality
33,Male,Doctor,2.78,12,7.06,8.78,3.19,2,82,56,4.12,low,ideal,good,low,low,0.0,0,0,0,2.3333333333333335,general_users
35,Female,Software Engineer,2.56,39,7.61,7.56,4.87,3,79,159,5.18,medium,ideal,good,medium,low,0.0,0,0,0,6.625,general_users
41,Female,Doctor,8.73,31,8.23,3.68,10.0,0,70,51,10.0,high,long,poor,medium,high,0.0,0,0,1,2.125,high_screen_low_sleep_quality
43,Female,Software Engineer,3.62,66,7.76,6.81,6.02,0,28,129,6.53,medium,ideal,moderate,high,low,0.0,0,0,0,5.375,general_users
42,Male,Designer,3.99,13,8.71,7.77,4.32,2,82,251,3.92,medium,long,good,low,low,0.0,0,0,0,10.458333333333334,general_users
58,Female,Software Engineer,5.94,119,5.15,5.61,9.2,1,32,48,8.96,high,short,moderate,high,moderate,1.8499999999999996,0,1,0,2.0,general_users
46,Female,Designer,4.43,119,8.54,6.0,7.39,0,87,89,8.79,high,long,moderate,high,moderate,0.0,0,0,0,3.7083333333333335,general_users
32,Female,Researcher,3.59,57,5.04,7.2,5.67,4,50,276,5.69,medium,short,moderate,medium,low,1.96,0,0,0,11.5,general_users
18,Female,Student,9.25,91,6.83,4.13,10.0,0,112,166,10.0,high,ideal,poor,high,high,0.16999999999999993,0,0,1,6.916666666666667,high_screen_low_sleep_quality
42,Male,Software Engineer,2.16,45,6.61,7.16,4.26,1,82,276,3.81,medium,ideal,moderate,medium,low,0.3899999999999997,0,0,0,11.5,general_users
24,Male,Student,4.64,89,8.16,5.68,7.51,3,4,113,8.48,high,long,moderate,high,moderate,0.0,0,0,0,4.708333333333333,general_users
26,Male,Teacher,1.03,84,5.99,8.91,2.71,0,36,228,2.9,low,short,good,high,low,1.0099999999999998,0,1,0,9.5,general_users
41,Female,Manager,8.27,109,4.72,3.61,10.0,2,88,76,10.0,high,short,poor,high,high,2.2800000000000002,1,1,1,3.1666666666666665,high_screen_low_sleep_quality
18,Other,Manager,2.52,114,7.53,6.58,5.06,1,2,31,3.93,medium,ideal,moderate,high,low,0.0,0,0,0,1.2916666666666667,general_users
25,Male,Designer,7.96,74,7.03,5.31,9.51,0,91,138,10.0,high,ideal,moderate,high,high,0.0,0,0,1,5.75,high_screen_time
41,Male,Researcher,2.34,90,8.14,6.57,3.26,3,89,53,3.72,low,long,moderate,high,low,0.0,0,0,0,2.2083333333333335,general_users
28,Male,Researcher,4.75,107,7.79,5.36,8.04,2,10,100,6.42,high,ideal,moderate,high,moderate,0.0,0,0,0,4.166666666666667,general_users
34,Female,Software Engineer,7.55,58,8.47,3.5,10.0,4,10,92,9.55,high,long,poor,medium,high,0.0,0,0,1,3.8333333333333335,high_screen_low_sleep_quality
25,Male,Manager,3.44,64,8.2,8.3,4.38,0,6,28,4.97,medium,long,good,high,low,0.0,0,0,0,1.1666666666666667,general_users
52,Male,Student,3.83,32,7.43,8.8,2.74,0,89,129,1.14,low,ideal,good,medium,low,0.0,0,0,0,5.375,general_users
52,Male,Manager,7.01,45,6.33,6.68,9.17,1,110,293,9.75,high,ideal,moderate,medium,high,0.6699999999999999,0,0,1,12.208333333333334,high_screen_time
50,Female,Manager,2.69,81,4.1,7.48,5.46,3,67,232,5.83,medium,short,moderate,high,low,2.9000000000000004,0,1,0,9.666666666666666,general_users
22,Female,Doctor,9.57,53,5.54,3.15,10.0,1,18,22,10.0,high,short,poor,medium,high,1.46,1,0,1,0.9166666666666666,high_screen_low_sleep_quality
59,Female,Manager,2.7,65,7.64,7.08,5.0,4,33,56,5.42,medium,ideal,moderate,high,low,0.0,0,0,0,2.3333333333333335,general_users
56,Male,Student,7.75,3,4.3,5.19,9.21,4,9,285,7.27,high,short,moderate,low,high,2.7,0,0,1,11.875,high_screen_time
58,Male,Manager,8.22,53,7.78,4.2,10.0,0,1,291,10.0,high,ideal,poor,medium,high,0.0,0,0,1,12.125,high_screen_low_sleep_quality
45,Male,Software Engineer,4.37,113,6.58,5.54,8.33,4,70,57,7.21,high,ideal,moderate,high,moderate,0.41999999999999993,0,0,0,2.375,general_users
24,Male,Manager,2.41,3,8.34,8.31,3.28,2,107,151,3.25,low,long,good,low,low,0.0,0,0,0,6.291666666666667,general_users
26,Male,Teacher,2.49,118,7.3,7.86,2.57,0,34,148,1.63,low,ideal,good,high,low,0.0,0,0,0,6.166666666666667,general_users
25,Male,Manager,9.87,16,7.99,4.84,10.0,2,31,273,9.87,high,ideal,poor,low,high,0.0,0,0,1,11.375,high_screen_low_sleep_quality
29,Female,Designer,7.53,111,4.86,5.73,9.16,4,14,134,9.44,high,short,moderate,high,high,2.1399999999999997,0,1,1,5.583333333333333,high_screen_time
51,Male,Researcher,5.05,79,4.86,5.43,8.59,1,11,199,7.23,high,short,moderate,high,moderate,2.1399999999999997,0,1,0,8.291666666666666,general_users
50,Male,Doctor,3.32,72,5.06,7.51,4.53,0,62,195,5.48,medium,short,good,high,low,1.9400000000000004,0,1,0,8.125,general_users
40,Female,Freelancer,1.17,89,5.67,7.7,1.0,1,110,234,1.89,low,short,good,high,low,1.33,0,1,0,9.75,general_users
41,Female,Student,7.03,73,8.52,5.77,7.95,0,107,184,7.49,high,long,moderate,high,high,0.0,0,0,1,7.666666666666667,high_screen_time
54,Female,Researcher,9.61,70,7.87,4.87,10.0,1,76,91,9.78,high,ideal,poor,high,high,0.0,0,0,1,3.7916666666666665,high_screen_low_sleep_quality
52,Female,Researcher,1.96,72,5.82,8.95,1.49,3,42,132,2.59,low,short,good,high,low,1.1799999999999997,0,1,0,5.5,general_users
57,Male,Manager,7.79,54,8.59,4.85,9.32,0,71,65,9.45,high,long,poor,medium,high,0.0,0,0,1,2.7083333333333335,high_screen_low_sleep_quality
39,Female,Manager,2.38,47,7.89,8.02,4.21,0,102,143,2.53,medium,ideal,good,medium,low,0.0,0,0,0,5.958333333333333,general_users
44,Female,Software Engineer,8.13,90,7.28,5.36,10.0,2,84,61,10.0,high,ideal,moderate,high,high,0.0,0,0,1,2.5416666666666665,high_screen_time
52,Male,Freelancer,4.34,95,6.18,8.14,3.61,3,26,145,4.41,low,ideal,good,high,moderate,0.8200000000000003,0,0,0,6.041666666666667,general_users
18,Male,Software Engineer,7.41,48,7.26,5.58,10.0,1,54,180,10.0,high,ideal,moderate,medium,high,0.0,0,0,1,7.5,high_screen_time
52,Female,Designer,9.34,22,6.97,4.78,10.0,3,80,236,8.74,high,ideal,poor,low,high,0.03000000000000025,0,0,1,9.833333333333334,high_screen_low_sleep_quality
54,Male,Freelancer,6.58,26,7.91,6.17,8.59,1,74,195,8.36,high,ideal,moderate,low,moderate,0.0,0,0,0,8.125,general_users
31,Male,Researcher,9.29,24,5.13,2.97,10.0,0,71,182,9.33,high,short,poor,low,high,1.87,1,0,1,7.583333333333333,high_screen_low_sleep_quality
20,Male,Doctor,3.12,92,8.43,7.22,4.68,2,31,294,5.4,medium,long,moderate,high,low,0.0,0,0,0,12.25,general_users
18,Male,Student,9.8,23,6.96,4.08,10.0,1,9,101,10.0,high,ideal,poor,low,high,0.040000000000000036,0,0,1,4.208333333333333,high_screen_low_sleep_quality
22,Male,Student,8.86,79,8.03,3.13,10.0,0,34,21,10.0,high,long,poor,high,high,0.0,0,0,1,0.875,high_screen_low_sleep_quality
43,Male,Researcher,1.97,79,5.74,8.26,3.9,4,118,31,3.51,low,short,good,high,low,1.2599999999999998,0,1,0,1.2916666666666667,general_users
31,Male,Student,4.72,91,5.96,6.05,7.01,4,91,227,7.48,high,short,moderate,high,moderate,1.04,0,1,0,9.458333333333334,general_users
56,Male,Designer,9.34,19,8.69,5.88,10.0,4,95,145,10.0,high,long,moderate,low,high,0.0,0,0,1,6.041666666666667,high_screen_time
44,Female,Designer,1.7,52,7.11,8.25,1.44,0,3,75,2.7,low,ideal,good,medium,low,0.0,0,0,0,3.125,general_users
26,Male,Manager,5.08,82,5.59,4.89,7.36,0,113,93,8.09,high,short,poor,high,moderate,1.4100000000000001,1,1,0,3.875,low_sleep_quality
32,Female,Doctor,7.51,73,4.41,5.19,10.0,1,90,180,10.0,high,short,moderate,high,high,2.59,0,1,1,7.5,high_screen_time
32,Female,Student,1.3,25,6.17,7.01,2.72,2,115,163,2.38,low,ideal,moderate,low,low,0.8300000000000001,0,0,0,6.791666666666667,general_users
43,Female,Student,7.78,59,8.25,5.9,9.21,1,38,177,9.12,high,long,moderate,medium,high,0.0,0,0,1,7.375,high_screen_time
59,Female,Manager,4.25,1,5.26,9.24,2.96,3,42,193,3.84,low,short,good,low,moderate,1.7400000000000002,0,0,0,8.041666666666666,general_users
30,Male,Doctor,3.24,2,8.3,8.06,3.8,0,17,84,3.03,low,long,good,low,low,0.0,0,0,0,3.5,general_users
49,Male,Freelancer,6.18,102,4.81,5.41,8.14,0,31,279,8.15,high,short,moderate,high,moderate,2.1900000000000004,0,1,0,11.625,general_users
56,Female,Doctor,5.9,55,4.65,7.47,5.21,2,68,134,6.4,medium,short,moderate,medium,moderate,2.3499999999999996,0,0,0,5.583333333333333,general_users
49,Male,Doctor,8.87,65,7.03,4.47,10.0,1,117,282,7.86,high,ideal,poor,high,high,0.0,0,0,1,11.75,high_screen_low_sleep_quality
21,Female,Researcher,7.08,24,8.02,4.35,10.0,1,100,113,9.52,high,long,poor,low,high,0.0,0,0,1,4.708333333333333,high_screen_low_sleep_quality
47,Female,Software Engineer,4.8,108,7.9,7.21,4.54,0,27,201,4.23,medium,ideal,moderate,high,moderate,0.0,0,0,0,8.375,general_users
54,Male,Doctor,6.85,67,6.72,4.95,10.0,4,38,218,10.0,high,ideal,poor,high,moderate,0.28000000000000025,0,0,0,9.083333333333334,low_sleep_quality
40,Female,Teacher,7.75,14,7.19,5.66,8.53,1,76,141,9.36,high,ideal,moderate,low,high,0.0,0,0,1,5.875,high_screen_time
56,Female,Designer,9.44,81,5.29,5.53,10.0,3,85,227,9.06,high,short,moderate,high,high,1.71,0,1,1,9.458333333333334,high_screen_time
32,Male,Doctor,7.34,6,6.76,8.69,5.23,4,26,259,4.41,medium,ideal,good,low,high,0.2400000000000002,0,0,0,10.791666666666666,high_screen_time
46,Male,Software Engineer,5.89,90,5.04,4.83,9.99,4,52,178,10.0,high,short,poor,high,moderate,1.96,1,1,0,7.416666666666667,low_sleep_quality
53,Female,Researcher,4.36,81,8.64,7.46,5.3,1,8,104,4.45,medium,long,moderate,high,moderate,0.0,0,0,0,4.333333333333333,general_users
30,Female,Researcher,9.02,70,7.39,4.61,10.0,4,90,286,10.0,high,ideal,poor,high,high,0.0,0,0,1,11.916666666666666,high_screen_low_sleep_quality
49,Male,Freelancer,8.13,119,6.82,5.73,10.0,3,50,49,9.63,high,ideal,moderate,high,high,0.17999999999999972,0,0,1,2.0416666666666665,high_screen_time
24,Male,Teacher,1.69,92,5.24,7.36,4.11,1,80,134,5.09,medium,short,moderate,high,low,1.7599999999999998,0,1,0,5.583333333333333,general_users
39,Female,Software Engineer,7.3,40,6.04,6.03,8.76,2,11,199,7.96,high,ideal,moderate,medium,high,0.96,0,0,1,8.291666666666666,high_screen_time
45,Female,Software Engineer,5.85,59,7.9,5.6,7.92,1,11,249,7.27,high,ideal,moderate,medium,moderate,0.0,0,0,0,10.375,general_users
19,Female,Manager,1.93,43,5.2,10.0,1.0,0,98,95,1.78,low,short,good,medium,low,1.7999999999999998,0,0,0,3.9583333333333335,general_users
59,Other,Software Engineer,6.08,32,4.64,5.91,9.63,2,119,125,10.0,high,short,moderate,medium,moderate,2.3600000000000003,0,0,0,5.208333333333333,general_users
23,Male,Software Engineer,2.73,65,5.54,7.04,3.84,1,91,209,2.02,low,short,moderate,high,low,1.46,0,1,0,8.708333333333334,general_users
45,Male,Student,7.37,81,7.97,5.66,9.98,4,29,221,10.0,high,ideal,moderate,high,high,0.0,0,0,1,9.208333333333334,high_screen_time
45,Female,Designer,3.51,109,8.42,5.62,6.77,0,26,290,6.28,medium,long,moderate,high,low,0.0,0,0,0,12.083333333333334,general_users
37,Female,Manager,2.35,22,6.07,8.81,1.03,0,42,138,2.44,low,ideal,good,low,low,0.9299999999999997,0,0,0,5.75,general_users
47,Male,Manager,1.74,63,7.91,7.75,2.57,2,95,223,1.0,low,ideal,good,high,low,0.0,0,0,0,9.291666666666666,general_users
28,Male,Student,5.42,5,5.66,6.61,7.38,3,57,292,6.76,high,short,moderate,low,moderate,1.3399999999999999,0,0,0,12.166666666666666,general_users
45,Female,Teacher,2.8,62,6.54,7.43,3.37,0,52,140,2.32,low,ideal,moderate,high,low,0.45999999999999996,0,0,0,5.833333333333333,general_users
42,Male,Student,8.7,42,4.1,3.87,10.0,1,101,172,9.91,high,short,poor,medium,high,2.9000000000000004,1,0,1,7.166666666666667,high_screen_low_sleep_quality
56,Female,Manager,1.03,24,7.56,7.89,3.34,4,103,132,3.5,low,ideal,good,low,low,0.0,0,0,0,5.5,general_users
50,Male,Teacher,8.59,82,7.59,3.78,10.0,2,5,31,10.0,high,ideal,poor,high,high,0.0,0,0,1,1.2916666666666667,high_screen_low_sleep_quality
18,Male,Manager,5.69,7,4.5,9.19,5.63,3,94,64,6.71,medium,short,good,low,moderate,2.5,0,0,0,2.6666666666666665,general_users
44,Male,Doctor,9.3,116,5.79,2.76,10.0,4,116,98,10.0,high,short,poor,high,high,1.21,1,1,1,4.083333333333333,high_screen_low_sleep_quality
30,Female,Teacher,2.84,36,6.42,9.77,1.0,3,0,282,1.0,low,ideal,good,medium,low,0.5800000000000001,0,0,0,11.75,general_users
58,Female,Manager,1.92,89,7.87,8.2,2.15,2,42,138,3.47,low,ideal,good,high,low,0.0,0,0,0,5.75,general_users
20,Female,Student,6.62,92,8.12,4.92,9.76,2,20,217,10.0,high,long,poor,high,moderate,0.0,0,0,0,9.041666666666666,low_sleep_quality
56,Female,Manager,7.36,58,7.6,4.8,9.59,3,75,192,10.0,high,ideal,poor,medium,high,0.0,0,0,1,8.0,high_screen_low_sleep_quality
23,Male,Student,4.35,27,5.08,7.48,6.43,0,11,248,6.18,medium,short,moderate,low,moderate,1.92,0,0,0,10.333333333333334,general_users
25,Male,Teacher,1.12,52,5.78,10.0,1.0,2,119,217,1.57,low,short,good,medium,low,1.2199999999999998,0,0,0,9.041666666666666,general_users
44,Female,Student,4.66,119,5.24,4.34,9.22,3,100,262,9.2,high,short,poor,high,moderate,1.7599999999999998,1,1,0,10.916666666666666,low_sleep_quality
26,Female,Teacher,3.1,70,7.19,6.96,4.55,0,45,261,3.89,medium,ideal,moderate,high,low,0.0,0,0,0,10.875,general_users
54,Female,Software Engineer,4.13,54,7.24,7.94,4.13,0,85,146,4.16,medium,ideal,good,medium,moderate,0.0,0,0,0,6.083333333333333,general_users
50,Female,Designer,5.56,35,4.08,6.51,6.48,2,37,102,5.63,medium,short,moderate,medium,moderate,2.92,0,0,0,4.25,general_users
59,Male,Freelancer,7.32,61,7.66,5.46,8.39,1,50,66,8.5,high,ideal,moderate,high,high,0.0,0,0,1,2.75,high_screen_time
41,Male,Teacher,9.67,14,5.15,2.71,10.0,3,79,98,10.0,high,short,poor,low,high,1.8499999999999996,1,0,1,4.083333333333333,high_screen_low_sleep_quality
32,Female,Freelancer,2.3,53,8.01,8.17,4.45,4,75,174,3.89,medium,long,good,medium,low,0.0,0,0,0,7.25,general_users
49,Male,Researcher,7.12,60,8.16,5.9,10.0,1,102,241,9.36,high,long,moderate,medium,high,0.0,0,0,1,10.041666666666666,high_screen_time
49,Male,Freelancer,3.1,96,7.98,6.74,5.66,0,44,24,7.24,medium,ideal,moderate,high,low,0.0,0,0,0,1.0,general_users
41,Female,Software Engineer,2.99,53,6.04,7.33,4.76,4,13,170,4.54,medium,ideal,moderate,medium,low,0.96,0,0,0,7.083333333333333,general_users
58,Male,Software Engineer,6.7,68,5.74,6.76,7.43,1,8,193,6.82,high,short,moderate,high,moderate,1.2599999999999998,0,1,0,8.041666666666666,general_users
29,Female,Software Engineer,7.98,28,6.18,6.14,8.26,0,1,212,7.55,high,ideal,moderate,low,high,0.8200000000000003,0,0,1,8.833333333333334,high_screen_time
